hotspot_cluster,collision_count,center_lat,center_lon,fatal_count,serious_count,slight_count,avg_casualties,total_casualties,avg_speed_limit,pct_dark,pct_wet,pct_rural,avg_danger_score,lat_spread,lon_spread,fatality_rate,serious_rate,risk_score,risk_rank,risk_tier
1960,5,53.024378,-0.42991399999999996,2,1,2,2.0,10,46.0,0.4,0.6,1.0,2.0,0.0040300000000002,0.009209999999999996,0.4,0.6,42.0,1,Critical
1633,6,51.09042333333334,-1.294415,2,2,2,1.1666666666666667,7,38.333333333333336,0.5,0.16666666666666666,1.0,1.8333333333333333,0.004629999999998802,0.006879999999999997,0.3333333333333333,0.6666666666666666,40.34,2,Critical
806,3,54.63825666666667,-3.56451,1,1,1,1.3333333333333333,4,30.0,0.3333333333333333,0.0,0.6666666666666666,1.3333333333333333,0.0014699999999976399,0.005749999999999922,0.3333333333333333,0.6666666666666666,39.33,3,Critical
570,5,53.355106,-3.026618,1,3,1,1.4,7,24.0,1.0,0.6,0.2,2.0,0.0037699999999958322,0.007309999999999928,0.2,0.8,38.0,4,Critical
2213,5,51.29732799999999,-0.01695,0,5,0,2.0,10,60.0,0.2,0.6,1.0,3.2,0.0035799999999994725,0.003469999999999999,0.0,1.0,36.4,5,Critical
2282,5,50.87444,-0.927882,1,2,2,1.6,8,60.0,0.4,0.8,1.0,3.8,0.0005199999999945248,0.006970000000000032,0.2,0.6,35.6,6,Critical
1786,6,51.31748666666667,0.6407933333333333,1,3,2,1.6666666666666667,10,66.66666666666667,0.3333333333333333,0.6666666666666666,1.0,3.0,0.0011099999999970578,0.00539999999999996,0.16666666666666666,0.6666666666666666,34.34,7,Critical
1829,5,51.400138000000005,0.440602,1,2,2,1.4,7,68.0,0.4,0.4,1.0,3.0,0.0026700000000019486,0.012649999999999995,0.2,0.6,34.0,8,Critical
1477,5,50.846296,0.396406,1,2,2,1.8,9,60.0,0.4,0.2,1.0,2.8,0.0035399999999938814,0.008079999999999976,0.2,0.6,33.6,9,Critical
628,5,54.260934,-2.812272,1,2,2,1.4,7,68.0,0.2,0.4,1.0,2.8,0.0009300000000038722,0.005050000000000221,0.2,0.6,33.6,10,Critical
487,6,53.41504833333334,-2.64958,1,3,2,1.8333333333333333,11,38.333333333333336,0.5,0.5,1.0,2.5,0.0017799999999965621,0.012849999999999806,0.16666666666666666,0.6666666666666666,33.34,11,Critical
928,5,53.19727400000001,-2.467952,1,2,2,1.4,7,50.0,0.4,0.4,1.0,2.2,0.002029999999997756,0.009329999999999838,0.2,0.6,32.4,12,Critical
2235,6,52.34347333333333,-1.340285,1,3,2,1.0,6,51.666666666666664,0.3333333333333333,0.3333333333333333,1.0,2.0,0.0022199999999941156,0.015120000000000022,0.16666666666666666,0.6666666666666666,32.34,13,Critical
517,7,56.001424285714286,-3.728387142857143,1,4,2,1.0,7,40.0,0.7142857142857143,0.42857142857142855,0.14285714285714285,1.8571428571428572,0.00915000000000532,0.006559999999999899,0.14285714285714285,0.7142857142857143,32.29,14,Critical
1211,4,52.54387,-2.0161075000000004,0,4,0,2.5,10,30.0,0.5,0.25,0.0,1.0,0.0032500000000013074,0.0039199999999999235,0.0,1.0,32.0,15,Critical
844,5,52.29981,-3.510398,1,2,2,1.2,6,24.0,0.6,0.2,1.0,1.8,0.003330000000005384,0.008879999999999999,0.2,0.6,31.6,16,Critical
2327,8,55.88077875,-4.303452500000001,1,5,2,1.625,13,30.0,0.375,0.625,0.0,1.25,0.004780000000003781,0.014899999999999913,0.125,0.75,31.25,17,Critical
647,5,54.878836,-1.3716059999999999,0,5,0,1.4,7,44.0,0.2,0.0,0.0,0.6,0.0050299999999978695,0.013719999999999954,0.0,1.0,31.2,18,Critical
1388,4,52.330455,-0.17661,0,4,0,1.25,5,30.0,0.0,0.25,0.0,0.5,0.0037499999999965894,0.004170000000000007,0.0,1.0,31.0,19,Critical
1583,6,51.84688833333333,-2.1582183333333336,1,3,2,1.1666666666666667,7,30.0,0.16666666666666666,0.5,0.16666666666666666,1.3333333333333333,0.00683000000000078,0.0024399999999999977,0.16666666666666666,0.6666666666666666,31.0,20,Critical
553,7,56.03848571428572,-3.423588571428571,1,4,2,1.0,7,27.142857142857142,0.42857142857142855,0.2857142857142857,0.0,0.8571428571428571,0.008789999999997633,0.007130000000000081,0.14285714285714285,0.7142857142857143,30.29,21,Critical
2118,7,52.324830000000006,0.5107785714285714,1,3,3,1.5714285714285714,11,70.0,0.2857142857142857,0.42857142857142855,1.0,3.0,0.0044699999999977535,0.005160000000000053,0.14285714285714285,0.5714285714285714,30.29,22,Critical
352,6,55.92058333333333,-4.332916666666667,1,3,2,1.0,6,30.0,0.0,0.5,0.0,0.6666666666666666,0.0022299999999972897,0.008560000000000123,0.16666666666666666,0.6666666666666666,29.67,23,Critical
638,6,53.204681666666666,-3.026073333333333,1,3,2,1.6666666666666667,10,28.333333333333332,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0038400000000038403,0.015259999999999607,0.16666666666666666,0.6666666666666666,29.67,24,Critical
65,6,51.67433333333333,-4.916603333333334,0,5,1,1.3333333333333333,8,25.0,0.5,0.3333333333333333,1.0,2.1666666666666665,0.004959999999996967,0.008539999999999992,0.0,0.8333333333333334,29.34,25,Critical
1430,6,50.644055,-3.542475,1,2,3,1.8333333333333333,11,63.333333333333336,0.16666666666666666,0.5,1.0,3.0,0.005140000000004363,0.004890000000000061,0.16666666666666666,0.5,29.34,26,Critical
